year,make,model,trim,body,transmission,state,condition,odometer,color,interior,mmr,sellingprice
2013,Mazda,Mazda3,i Sport,Sedan,automatic,mi,4.2,51724.0,silver,gray,10200,9900
2010,Chevrolet,Aveo,1LT,Sedan,automatic,tx,2.7,82927.0,blue,black,4200,4200
2013,Ford,F-150,XL,Regular Cab,automatic,tx,3.9,10588.0,black,gray,16400,17100
2005,Ford,Escape,XLT,SUV,automatic,oh,1,135369.0,gray,gray,3050,950
2007,Hyundai,Tiburon,GS,Hatchback,automatic,sc,2.6,112952.0,black,black,3650,2600
2006,HUMMER,H2 SUT,Base,Crew Cab,automatic,pa,4.2,55372.0,—,black,25700,32200
2012,Ford,Escape,XLT,SUV,automatic,nj,1.9,37119.0,black,black,15750,11700
2012,Nissan,Murano,SV,suv,,il,4.4,34089.0,red,black,18250,19600
2014,Ford,Fusion,SE,Sedan,automatic,sc,2,43069.0,silver,black,14300,11700
2011,Dodge,Journey,Mainstreet,SUV,automatic,tx,3.6,99457.0,gold,—,8700,7800
2014,Chrysler,Town and Country,Touring,Minivan,automatic,ut,1,34195.0,black,black,17900,3700
2010,Nissan,Versa,1.8 SL,Sedan,automatic,fl,,113267.0,silver,gray,4225,5100
2004,Dodge,Durango,SLT,SUV,automatic,oh,3.4,102939.0,black,gray,4450,3200
2013,Kia,Rio,LX,Sedan,automatic,wa,3.7,35113.0,silver,black,9400,10100
2012,Honda,Civic,LX,Sedan,automatic,ca,1,64322.0,black,gray,9975,2700
2001,Ford,Ranger,XLT,SuperCab,automatic,tx,2.1,121900.0,gold,tan,2700,1800
2012,Honda,Civic,LX,Sedan,automatic,il,3.5,28612.0,gray,gray,12400,9600
2013,Jeep,Wrangler,Unlimited Sport,suv,automatic,fl,4.7,57039.0,white,black,24000,25200
2006,Pontiac,G6,Base,sedan,automatic,nc,1,148776.0,red,—,2375,2400
2015,Kia,Optima,LX,Sedan,automatic,tx,4.3,3615.0,burgundy,beige,16150,16000
2009,Toyota,Prius,Base,Hatchback,automatic,pa,2.3,178004.0,green,gray,4300,3000
2013,Ford,Explorer,Sport,SUV,automatic,mi,2.9,22094.0,black,black,36300,28800
2013,Jeep,Wrangler,Sport,suv,automatic,oh,5,17833.0,beige,black,23400,20500
2007,Chrysler,Town and Country,Touring,Minivan,automatic,in,1.9,114988.0,blue,gray,3825,3200
2011,Nissan,Maxima,3.5 SV,Sedan,automatic,nj,2.1,43499.0,white,beige,16300,14100
2014,Hyundai,Sonata,SE,Sedan,automatic,sc,4.9,6825.0,blue,gray,17700,17100
2013,Honda,Fit,Base,Hatchback,automatic,fl,2.5,15679.0,white,gray,13050,12000
2002,GMC,Yukon,Denali,SUV,automatic,wa,2.8,149649.0,white,gray,4125,4800
2013,Ford,Escape,SEL,SUV,automatic,mo,4.4,25818.0,black,gray,18250,16800
2014,Nissan,Versa Note,1.6 SV,hatchback,,pa,3.7,15513.0,gray,black,10700,8800
1997,,,,,automatic,ga,2.3,175106.0,black,tan,2300,4000
2013,Ford,Edge,Sport,SUV,automatic,ca,4,37458.0,blue,black,26800,26300
2012,Chevrolet,Camaro,LT,Coupe,automatic,mo,3.7,20610.0,black,black,17900,18700
2012,Honda,CR-V,EX,suv,automatic,nj,3.5,27896.0,gray,gray,18250,18100
2013,Infiniti,G Sedan,G37x,G Sedan,automatic,ga,4.9,23579.0,black,gray,21800,22600
2012,Mazda,Mazda6,i Touring,Sedan,automatic,fl,4.4,45305.0,black,black,10600,12200
2011,Nissan,Murano,SL,SUV,automatic,tx,3.2,62778.0,brown,tan,17150,15600
2006,GMC,Envoy,Denali,SUV,automatic,pa,3.5,88312.0,black,black,9300,10000
2004,Suzuki,Forenza,S,sedan,automatic,fl,3.4,75574.0,beige,gray,1325,1400
2012,Infiniti,G Coupe,G37,G Coupe,automatic,ca,3.7,28452.0,white,gray,21700,22250
2012,Ford,Focus,S,Sedan,automatic,tx,4,31953.0,gray,black,8050,10000
2011,Acura,TSX,Base,Sedan,automatic,il,2.8,79907.0,silver,black,12600,12000
2014,Ford,Escape,Titanium,suv,automatic,va,4,34782.0,gray,black,21400,21800
2013,Chevrolet,Silverado 1500,LT,Extended Cab,automatic,ga,4.5,20770.0,silver,black,21800,23300
2000,Buick,LeSabre,Custom,Sedan,automatic,ne,,87318.0,black,gray,2175,3000
2015,Ford,Fusion Hybrid,SE,Sedan,automatic,ny,4.8,14745.0,white,black,17850,16900
2012,Nissan,Rogue,SV,SUV,automatic,co,3.9,141814.0,gray,black,12600,7300
2007,Ford,Focus,ZX4 SE,Sedan,automatic,sc,2.9,146815.0,white,gray,2175,1700
2004,Audi,A4,3.0 Avant quattro,Wagon,automatic,nc,3.2,103234.0,gray,gray,3675,500
2014,Volkswagen,Passat,Wolfsburg Edition PZEV,Sedan,automatic,fl,1.9,19063.0,silver,black,14600,13000
2013,Chevrolet,Equinox,LT,SUV,,pa,4.5,22437.0,black,black,18300,18300
2012,Honda,Civic,LX,Sedan,automatic,ca,3.5,28021.0,gold,gray,10950,12000
2012,Hyundai,Elantra,GLS,Sedan,automatic,fl,3.4,65485.0,black,beige,9175,9700
2006,Chrysler,300,Base,Sedan,automatic,ca,2.6,159174.0,blue,black,3150,3100
2008,BMW,3 Series,328i,Coupe,,va,4.4,82456.0,blue,red,12800,12800
2012,Chrysler,300,SRT8,Sedan,automatic,tx,4.4,36269.0,black,red,31500,32500
2005,Ford,Ranger,XLT,SuperCab,automatic,tx,3.5,95781.0,white,gray,6025,4600
2014,Chrysler,300,C,Sedan,automatic,mn,4,21141.0,red,black,22200,22200
2014,Chevrolet,Impala,LS Fleet,Sedan,automatic,fl,4,22202.0,silver,gray,16250,16100
2014,Nissan,Murano,SV,suv,,ca,4.4,17988.0,brown,tan,20700,19000
2007,GMC,Yukon XL,Denali,suv,automatic,ca,4.3,197785.0,white,beige,8750,8100
2014,Volvo,S60,T5,Sedan,automatic,tn,3.9,18753.0,black,black,22600,21700
2013,Ford,Edge,SE,SUV,automatic,md,1,58062.0,black,black,14500,10900
2013,Ford,Escape,SEL,SUV,automatic,ny,4.4,16377.0,white,tan,21300,21600
2012,Suzuki,SX4,Base,Sedan,automatic,ny,2.3,21255.0,blue,black,10100,8900
2009,Cadillac,Escalade,Base,SUV,automatic,tx,4.1,82005.0,black,black,24500,26750
2001,Buick,LeSabre,Custom,Sedan,automatic,il,1.9,170151.0,silver,gray,900,950
2012,Ford,Focus,Titanium,Sedan,automatic,fl,2.5,22946.0,gray,black,13200,12100
2012,Dodge,Journey,American Value Package,SUV,,fl,1.9,45682.0,gray,black,11150,9600
2002,Cadillac,DeVille,Base,Sedan,automatic,ga,2.4,120999.0,white,gray,1475,1200
2001,Chrysler,Sebring,LXi,Sedan,automatic,va,1,121014.0,silver,gray,1200,300
2004,,,,,automatic,nc,2.1,191361.0,burgundy,gray,1375,1200
2009,Ford,Taurus,Limited,Sedan,automatic,nj,3.5,97008.0,gray,gray,6550,7000
2005,Dodge,Durango,Limited,SUV,automatic,oh,2.5,159394.0,red,gray,4375,2900
2011,GMC,Sierra 1500,SLE,crew cab,automatic,co,4.3,85066.0,gray,black,18150,18100
2003,Honda,Accord,EX,Sedan,automatic,co,3,63320.0,gray,gray,4500,5800
2005,Mitsubishi,Galant,ES,Sedan,automatic,nc,2.1,178218.0,silver,gray,1225,1800
2000,Mercedes-Benz,S-Class,S500,Sedan,automatic,ca,2.2,76301.0,silver,black,3050,5000
2012,Nissan,Altima,2.5 S,Sedan,,pa,4.1,44790.0,white,beige,11350,11900
2006,Nissan,Pathfinder,LE,SUV,automatic,ca,2.8,127790.0,black,black,6450,7100
2009,Dodge,Journey,SE,SUV,automatic,nc,3.8,98234.0,silver,black,6075,7400
2004,Toyota,4Runner,Limited,SUV,automatic,ma,3.3,128097.0,black,tan,8625,7800
2008,Scion,tC,Base,Hatchback,automatic,ma,3.4,146495.0,gray,black,4100,3200
2012,Ford,Fiesta,SE,Hatchback,automatic,fl,4.2,68123.0,silver,beige,7350,7700
2013,GMC,Yukon XL,SLT 1500,SUV,automatic,ca,3.3,58313.0,white,black,26600,26500
2013,Ford,Focus,SE,Hatchback,automatic,mo,4.3,37918.0,gray,burgundy,11150,12000
2012,Nissan,Pathfinder,LE,SUV,automatic,va,3.3,53657.0,—,brown,18900,20500
2004,Hyundai,XG350,Base,Sedan,automatic,hi,1.9,103920.0,silver,black,2200,2300
2007,GMC,Yukon,SLE,SUV,,va,3.2,113607.0,black,black,14600,14400
2012,Ford,Edge,SEL,SUV,automatic,fl,4.4,47302.0,—,black,17550,20200
1997,,,,,,or,1.9,145206.0,black,tan,1000,575
2007,Cadillac,CTS,Base,Sedan,automatic,il,2.2,82622.0,blue,black,6975,6600
2009,Ford,F-150,FX4,SuperCab,automatic,mi,4.3,83618.0,gray,tan,16100,15400
2011,Mitsubishi,Outlander,ES,SUV,,pa,3.7,48287.0,silver,black,9700,10500
2014,Ford,Explorer,Limited,SUV,automatic,mo,4.2,34676.0,white,brown,28000,31700
2010,Volkswagen,Jetta,Limited Edition PZEV,Sedan,automatic,tn,1.9,71758.0,red,tan,6775,6600
2012,Infiniti,G Sedan,G37x,G Sedan,automatic,fl,4.8,32004.0,purple,gray,20200,20000
2013,Nissan,Maxima,3.5 S,Sedan,automatic,md,2,65389.0,burgundy,black,12550,11000
2013,Nissan,Altima,2.5,Sedan,automatic,fl,4.4,16950.0,brown,black,15150,19400
2012,,,,,automatic,ca,4.9,95265.0,white,gray,14550,13700
2011,Chevrolet,Equinox,LS,SUV,,nj,3.7,83219.0,—,black,10350,9400
2012,Ram,1500,ST,Crew Cab,automatic,mi,3.8,58499.0,red,black,20400,20400
2012,Honda,Accord,EX-L V-6,Sedan,automatic,in,4.3,44857.0,blue,gray,15500,16000
2013,Nissan,Leaf,S,hatchback,automatic,wa,4.8,20976.0,—,black,8350,8900
2013,Chrysler,200,LX,Sedan,automatic,co,4.3,39736.0,gray,black,10800,11200
2007,Nissan,Versa,1.8 S,hatchback,,fl,1.9,124185.0,black,black,3000,3100
2006,Dodge,Dakota,SLT,Quad Cab,automatic,sc,3.3,149956.0,white,gray,5675,5800
2013,Chevrolet,Traverse,LS,SUV,automatic,ca,4.1,47406.0,white,gray,16300,17600
2014,Ford,Fiesta,SE,sedan,automatic,ms,4.5,22684.0,—,black,9800,10400
2013,Nissan,Altima,2.5,Sedan,automatic,tx,4.4,16002.0,gray,black,14200,14300
2013,Volkswagen,Passat,Wolfsburg Edition PZEV,Sedan,,nj,2.7,41229.0,blue,black,11000,10300
2005,Acura,MDX,Base,SUV,automatic,mo,2.7,115232.0,black,black,6850,7400
2010,Toyota,Corolla,LE,Sedan,automatic,in,1.9,86750.0,gold,tan,7475,6200
2012,Honda,Accord,EX-L V-6,Coupe,automatic,nj,3.3,37912.0,gray,black,15250,14900
2005,Lincoln,Navigator,Ultimate,SUV,automatic,tx,1,207879.0,black,gray,900,1900
2012,Volkswagen,Tiguan,S,SUV,manual,ca,4.8,17968.0,white,black,14300,15250
2011,Toyota,Camry,XLE,Sedan,automatic,nv,3.2,73970.0,black,gray,12900,13000
2012,MINI,Cooper,Base,Hatchback,automatic,nc,4.7,36649.0,purple,black,12750,12600
2006,Toyota,RAV4,Sport,SUV,automatic,ny,3.6,132002.0,red,black,6400,7550
2005,Chevrolet,Colorado,Z85,Extended Cab,automatic,ga,3.3,125906.0,blue,gray,6075,5500
2012,Mazda,Mazda6,s Grand Touring,Sedan,automatic,wi,4.1,16032.0,gray,black,14500,15800
2006,Ford,Econoline Wagon,E-350 Super Duty XL,Van,automatic,in,2.8,113389.0,gray,gray,4750,7800
2013,Nissan,Rogue,S,SUV,automatic,ca,4.1,34240.0,black,black,15100,15200
2013,Ford,Edge,Limited,SUV,automatic,ne,4.2,54163.0,silver,black,19400,20000
2012,Ford,Focus,SE,Hatchback,automatic,ca,4.1,53119.0,black,black,9225,10200
2009,Chrysler,Sebring,LX,Sedan,automatic,oh,2.8,121879.0,silver,black,4775,4400
2012,Nissan,Altima,2.5 S,Sedan,automatic,mo,4,34159.0,silver,black,12050,11900
2013,Chrysler,Town and Country,Touring,Minivan,automatic,fl,3.7,28686.0,blue,tan,17750,17700
2014,Ford,Escape,SE,SUV,automatic,mo,4,32457.0,silver,gray,16400,16500
2012,Ford,Flex,SEL,Wagon,automatic,fl,4.9,38583.0,—,gray,19800,21800
2006,Volvo,S40,2.4i,sedan,automatic,fl,4.4,59011.0,black,gray,5525,6800
2011,Ford,Explorer,XLT,SUV,automatic,mi,3.5,45307.0,black,black,20900,19000
2013,Chevrolet,Equinox,LT,SUV,automatic,ma,3.9,105530.0,gray,black,12650,11300
2000,Honda,Civic,DX,Sedan,automatic,ga,1.9,198516.0,beige,tan,1225,800
2013,Jeep,Wrangler,Unlimited Sahara,SUV,automatic,ca,4,43882.0,black,black,28000,25400
2013,Ford,Edge,SEL,SUV,automatic,mo,4.3,34733.0,—,black,20900,19300
2013,Chevrolet,Captiva Sport,LS Fleet,SUV,automatic,ca,4.3,38299.0,red,black,13000,13300
2000,BMW,7 Series,740iL,Sedan,,fl,1.9,140952.0,green,beige,1550,2000
2011,Lexus,RX 350,Base,SUV,automatic,oh,2.8,83534.0,blue,gray,21000,20400
2012,Buick,Verano,Convenience Group 2,Sedan,automatic,pa,4.9,39953.0,gray,gray,12350,12300
2008,Chrysler,Sebring,Touring,Convertible,automatic,tx,2.1,78906.0,blue,gray,5075,6000
2005,Lexus,ES 330,Base,Sedan,automatic,mo,1.9,145401.0,green,tan,6200,4600
2014,Nissan,Versa Note,1.6 SV,Hatchback,,pa,4.2,29954.0,blue,black,9950,10000
2011,Mercedes-Benz,S-Class,S550 4MATIC,Sedan,automatic,oh,2.5,81612.0,black,black,31200,31000
1998,Audi,A6,2.8 quattro,Sedan,automatic,fl,3.9,72634.0,brown,beige,1350,3000
2009,BMW,3 Series,328i xDrive,Coupe,automatic,ca,3.1,51136.0,blue,brown,15400,14700
2005,Volkswagen,Jetta,2.5 PZEV,Sedan,automatic,nc,2.4,161201.0,blue,gray,2200,2100
2007,Hyundai,Sonata,GLS,Sedan,automatic,oh,2.5,84765.0,silver,gray,4600,3700
2013,Toyota,Sienna,LE 7-Passenger Mobility Auto Access,Minivan,automatic,pa,2.3,44986.0,black,gray,18450,17900
2012,Buick,Regal,Premium 2,Sedan,automatic,mi,5,50035.0,silver,black,13850,14500
2007,Mercedes-Benz,M-Class,ML320 CDI,SUV,automatic,fl,3.6,105094.0,blue,beige,13350,13800
2008,Chevrolet,Silverado 1500,LTZ,Crew Cab,automatic,nv,2.7,68990.0,burgundy,black,19500,22700
2013,Cadillac,Escalade,Luxury,suv,,nj,4.2,77794.0,black,black,35000,35200
1999,Ford,Taurus,SE,Sedan,automatic,nv,2,173308.0,green,—,625,350
2003,Lincoln,Town Car,Signature,Sedan,,ga,2,171382.0,green,tan,2500,900
2001,BMW,3 Series,330Ci,convertible,manual,ma,1.9,161955.0,blue,gray,3075,2100
2010,,,,,automatic,fl,3.2,71308.0,white,silver,13450,14600
2007,Mitsubishi,Galant,ES,Sedan,automatic,md,2.3,71705.0,red,gray,4800,3400
2012,Nissan,Frontier,S,King Cab,automatic,hi,3.7,47939.0,white,gray,11400,7000
2013,Mercedes-Benz,GLK-Class,GLK350,SUV,automatic,nv,4.1,24641.0,black,black,27800,27500
2008,Toyota,Highlander,Base,SUV,automatic,ca,2.7,82843.0,gray,gray,12400,14500
2012,Dodge,Grand Caravan,SXT,Minivan,automatic,la,3.8,54280.0,silver,—,11350,11100
1999,BMW,5 Series,528i,Wagon,automatic,nc,2.1,179332.0,white,gray,1175,1700
2005,Toyota,Sienna,XLE 7-Passenger,Minivan,automatic,fl,3.2,121830.0,white,gray,6250,6200
2007,Cadillac,DTS,Base,Sedan,automatic,pa,3.9,70700.0,white,gray,7850,9400
2015,Chevrolet,Silverado 2500HD,LT,crew cab,automatic,fl,4,8548.0,white,black,41100,41000
2004,Volvo,XC90,2.5T,SUV,automatic,ga,,181925.0,silver,tan,2500,2700
2014,Ford,Escape,Titanium,SUV,automatic,fl,4.7,29590.0,—,black,21000,21900
2008,Dodge,Caliber,SE,wagon,automatic,ga,4.5,46561.0,white,black,5600,5900
2012,Ford,Fusion,SE,Sedan,automatic,oh,3.8,90065.0,gray,black,8025,7500
2012,Chevrolet,Traverse,LT,suv,automatic,wi,2.4,70046.0,white,black,15550,13700
2005,Chevrolet,Equinox,LT,SUV,automatic,md,1.9,135967.0,gray,gray,3400,2900
2012,Toyota,4Runner,Limited,SUV,automatic,fl,3.9,61440.0,black,beige,30200,30300
2014,Chrysler,Town and Country,Touring,Minivan,automatic,fl,4,18819.0,blue,black,19650,19500
2012,BMW,5 Series,535i,Sedan,automatic,ca,3.7,40113.0,gray,gray,33500,32500
2006,Dodge,Stratus,SXT,Sedan,automatic,tx,2.6,147493.0,silver,gray,1250,1500
2012,Honda,Civic,LX,Sedan,automatic,sc,4,33210.0,blue,gray,10900,11400
2010,Land Rover,Range Rover Sport,HSE,SUV,automatic,nv,4.4,41238.0,white,beige,32500,35000
2012,Nissan,Sentra,2.0 SR,Sedan,,pa,3.5,35334.0,red,gray,10800,10200
2013,Chevrolet,Malibu,Eco,Sedan,automatic,oh,2.6,57821.0,silver,black,12300,11600
2013,Ford,Escape,SE,SUV,automatic,nv,3.9,62341.0,gray,black,14300,14700
2011,Toyota,Avalon,Limited,Sedan,automatic,ma,3.3,153841.0,gray,gray,14850,12700
2014,Toyota,Camry,SE,sedan,automatic,fl,4.9,14112.0,black,black,16700,16600
2012,Infiniti,G Sedan,G25x,g sedan,,pa,4.8,37650.0,blue,gray,16850,17800
2010,BMW,5 Series,528i xDrive,sedan,,pa,4.1,33227.0,black,black,20000,19000
2012,Nissan,Leaf,SL,Hatchback,automatic,ga,2.2,28495.0,blue,gray,7550,7000
2008,Chevrolet,HHR,LT,Wagon,automatic,oh,4.2,66269.0,gold,black,5800,7500
2004,Ford,Expedition,Eddie Bauer,SUV,automatic,pa,2.4,153576.0,—,beige,4225,3800
2014,Nissan,Rogue,SL,suv,automatic,wa,4.4,14793.0,white,black,24400,25000
2012,GMC,Sierra 1500,Denali,Crew Cab,automatic,ca,4.2,47789.0,off-white,black,32000,32500
2012,Kia,Optima,SX,sedan,,fl,1.9,57758.0,red,black,15600,11700
2013,Chevrolet,Malibu,Eco,sedan,automatic,wi,2.6,44620.0,black,gray,12500,13600
2005,Lincoln,Town Car,Signature,Sedan,,ga,3.4,71910.0,off-white,beige,5050,6500
2014,Toyota,Tacoma,PreRunner V6,double cab,automatic,az,4.7,11553.0,black,gray,26000,25000
2010,BMW,7 Series,750Li xDrive,Sedan,automatic,nj,2,52851.0,black,brown,31100,26700
2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,tx,4.3,26620.0,—,gray,21500,22400
2009,Chevrolet,Malibu,LT1,Sedan,automatic,fl,2,62919.0,white,black,7925,7800
2008,BMW,5 Series,535xi,Sedan,automatic,nj,3.3,73614.0,gray,gray,12350,12900
2011,Mercedes-Benz,M-Class,ML350 4MATIC,SUV,automatic,oh,3.1,31276.0,—,gray,28300,27750
2012,Ford,Transit Connect,Cargo Van XL,Minivan,automatic,tx,3.1,24820.0,white,gray,15050,12600
2012,GMC,Terrain,SLE-2,SUV,automatic,sc,4.1,50028.0,white,black,15550,16400
2013,Ford,Fusion,S,Sedan,automatic,pa,3.8,77390.0,purple,gray,10750,10000
2010,GMC,Yukon XL,SLT 1500,SUV,automatic,tx,4.4,86733.0,silver,beige,20800,21200
2013,Ford,Escape,SE,SUV,automatic,in,3.5,72575.0,black,gray,12200,8700
2012,Ford,Fusion,SEL,Sedan,automatic,ga,2.8,32899.0,gray,gray,13500,12400
2008,BMW,5 Series,535xi,Sedan,automatic,wi,2.6,189038.0,white,beige,5050,6700
2002,Hyundai,Santa Fe,GLS,SUV,automatic,wi,1,138734.0,blue,gray,1950,400
2014,Mitsubishi,Mirage,ES,Hatchback,automatic,pr,4.4,13998.0,silver,black,9275,10000
2015,Chevrolet,Suburban,LT,SUV,,nj,3.4,11733.0,black,black,49600,48500
2011,Chevrolet,Silverado 1500,LT,Regular Cab,automatic,mi,3.3,45989.0,black,black,20100,18900
2001,BMW,7 Series,740iL,Sedan,automatic,fl,3.9,126540.0,white,tan,2500,2700
2013,Ford,Explorer,XLT,SUV,automatic,nc,4.3,47033.0,black,black,23200,23600
2011,Ford,F-250 Super Duty,Lariat,Crew Cab,automatic,ca,3.8,107149.0,—,gray,9750,13250
2009,Chevrolet,Equinox,LT,suv,automatic,co,3.4,73396.0,gold,beige,10150,9000
2007,HUMMER,H3,Base,SUV,automatic,tx,2.7,130111.0,black,black,9800,8400
2006,BMW,3 Series,325i,Sedan,automatic,tx,2.9,63358.0,black,black,8925,7500
2007,Audi,A4,2.0T,convertible,,pa,4.2,107836.0,blue,gray,7200,8400
2013,Toyota,RAV4,LE,SUV,automatic,oh,3.6,57905.0,silver,gray,15750,15900
2013,Ford,Fiesta,SE,Sedan,automatic,ca,3.5,28251.0,black,black,9575,9100
2003,BMW,X5,3.0i,SUV,automatic,fl,1.9,158197.0,blue,tan,4075,2800
2006,Mercedes-Benz,E-Class,E350,Sedan,automatic,fl,1.9,127274.0,gray,beige,6675,6400
2013,Kia,Optima,EX,Sedan,automatic,oh,4.6,16434.0,silver,gray,16400,17900
2013,Nissan,Maxima,3.5 S,sedan,automatic,fl,3.1,61145.0,white,black,12900,12600
2013,Infiniti,G Sedan,G37x,G Sedan,automatic,ga,4.6,12318.0,off-white,beige,22800,23600
2013,Nissan,Leaf,SV,Hatchback,automatic,wa,4.6,15411.0,red,black,13250,14800
2007,Chrysler,Pacifica,Touring,Wagon,automatic,tx,1.9,102949.0,silver,gray,5250,4300
2012,Chevrolet,Traverse,LT,SUV,automatic,ne,2.5,53152.0,burgundy,black,16150,16400
2013,Infiniti,G Sedan,G37 Journey,g sedan,automatic,fl,4.2,25113.0,gray,black,20600,22200
2007,Honda,Odyssey,EX-L,Minivan,automatic,nc,3,142054.0,—,gray,6450,7500
2007,,,,,automatic,ga,1.9,185690.0,beige,tan,10050,8000
2011,Jeep,Patriot,Sport,SUV,automatic,fl,3.4,53669.0,gray,beige,8150,9400
2001,Pontiac,Firebird,Trans Am,Hatchback,manual,sc,3,103150.0,black,black,6650,8000
2004,Dodge,Ram Pickup 1500,SLT,Quad Cab,automatic,ga,1.9,88882.0,gray,gray,6575,6800
2013,Hyundai,Sonata,GLS,sedan,automatic,ca,2.9,28849.0,blue,gray,12350,11800
2002,Mazda,Protege,ES,Sedan,manual,wa,3.6,177493.0,silver,black,725,1200
2013,Nissan,Altima,2.5,Sedan,automatic,oh,4.1,24233.0,silver,black,14050,13600
2011,Toyota,Corolla,S,Sedan,,nj,,49188.0,gray,—,10450,8800
2013,Nissan,Sentra,FE+ SV,Sedan,automatic,va,3.5,20185.0,silver,black,11600,11400
1995,Cadillac,DeVille,Base,Sedan,automatic,fl,2,134926.0,gold,beige,850,550
2012,Acura,TSX,Base,Sedan,automatic,ga,4.3,26564.0,white,black,17450,18400
2013,Dodge,Charger,SXT,Sedan,automatic,tx,3.9,34603.0,blue,tan,17350,18800
2013,Ford,Escape,SE,suv,automatic,ga,4.5,23999.0,white,gray,16200,16300
2013,Ford,Fusion,SE,Sedan,automatic,fl,4.3,3475.0,green,black,17200,16300
2014,Ford,Escape,Titanium,SUV,automatic,fl,4.9,35358.0,brown,black,19550,21100
2013,Honda,Civic,EX-L,Sedan,automatic,tn,3.9,19765.0,gray,tan,15400,15400
2013,Toyota,Prius c,One,Hatchback,automatic,ga,4.7,18831.0,gray,gray,13450,12300
2013,Ford,Edge,SE,suv,automatic,il,3,67974.0,blue,gray,13000,13700
2012,Ford,Escape,XLT,SUV,automatic,fl,3.4,44418.0,black,black,15950,15500
2002,Chevrolet,S-10,LS,Extended Cab,automatic,ca,2,149605.0,gold,beige,2000,3800
2010,Honda,Insight,EX,Hatchback,automatic,tx,1.9,73971.0,gray,black,8075,4400
2010,Chevrolet,Impala,LT,Sedan,automatic,fl,2.5,144753.0,blue,black,4400,3900
2012,Volkswagen,Jetta,S,sedan,automatic,ca,2.6,17599.0,—,black,9350,9000
2011,Hyundai,Santa Fe,Limited,SUV,,pa,4,149908.0,silver,black,9875,10500
2011,Ram,1500,SLT,quad cab,automatic,mi,4.2,37822.0,red,black,21200,22000
2011,BMW,3 Series,328i,Sedan,automatic,tn,3.7,29135.0,black,gray,19850,18900
2010,,,,,automatic,fl,1.9,210463.0,white,gray,4425,2900
2004,Jeep,Liberty,Sport,SUV,automatic,mi,2.7,137498.0,black,gray,3050,2400
2013,Mercedes-Benz,C-Class,C300 Sport 4MATIC,Sedan,automatic,oh,2.8,34190.0,white,beige,23400,23000
2011,Infiniti,G Sedan,G25x,G Sedan,automatic,il,4.3,22773.0,white,gray,17600,18100
2001,Chevrolet,Tahoe,Base,SUV,automatic,ca,2.1,152405.0,gray,beige,3425,3200
2001,BMW,3 Series,325i,Sedan,automatic,ca,3.2,165856.0,silver,black,2025,2700
2013,Dodge,Grand Caravan,SE,Minivan,automatic,fl,3.6,140694.0,—,beige,8700,7700
2014,Jeep,Compass,Sport,SUV,automatic,ga,4.3,45946.0,red,black,15150,15300
2010,BMW,7 Series,750Li,Sedan,automatic,fl,3.6,12395.0,white,brown,34500,32000
2005,Mercedes-Benz,E-Class,E320 CDI,Sedan,automatic,fl,2.2,88323.0,silver,black,9650,8500
2012,Kia,Optima,EX,Sedan,automatic,ca,3.6,59569.0,gray,gray,12450,12800
2014,Ford,Expedition,EL King Ranch,SUV,automatic,mn,4,33433.0,—,beige,31100,32200
2013,Chevrolet,Impala,LTZ,sedan,automatic,ca,2.8,53408.0,gray,black,10750,10700
2011,BMW,X6 M,Base,SUV,automatic,pa,4.5,7501.0,blue,black,52500,55000
2013,Infiniti,G Sedan,G37x,g sedan,automatic,tn,2.3,12595.0,black,black,22400,19800
2000,Toyota,Celica,GT,Hatchback,automatic,ca,1.9,93296.0,red,gray,2775,3600
2013,Hyundai,Elantra,GLS,Sedan,automatic,tn,3.5,76418.0,gray,gray,9775,9700
2011,Toyota,Tacoma,PreRunner V6,Double Cab,,ga,4.2,82133.0,green,green,18400,18200
2005,BMW,X3,3.0i,SUV,automatic,va,1.9,127514.0,blue,gray,5500,3400
2007,Infiniti,G35,x,Sedan,,nj,2.4,108266.0,white,black,9150,8300
2004,Chevrolet,Avalanche,1500,Crew Cab,automatic,nc,4.5,84393.0,gray,gray,10100,10000
2011,Ford,F-150,XLT,SuperCrew,,on,3.3,162254.0,silver,gray,15700,14600
2012,Volkswagen,Golf,2.5L PZEV,Hatchback,automatic,fl,2.8,60472.0,black,black,9175,9200
2012,Nissan,Altima,2.5 S,Sedan,,pa,4.1,40273.0,blue,black,11750,12700
2007,Pontiac,G6,GT,Convertible,automatic,fl,3.6,84351.0,silver,beige,6775,6900
2008,Jeep,Compass,Limited,SUV,automatic,tx,,116350.0,gold,black,6850,6800
2006,Ford,Mustang,Standard,Coupe,automatic,nc,3.7,79169.0,red,black,6825,8800
2012,Ford,Escape,Limited,SUV,automatic,pa,3.8,41859.0,gray,black,17250,16900
2011,Chevrolet,Malibu,LS,Sedan,automatic,il,1.9,60533.0,white,gray,8650,7200
2002,Nissan,Sentra,GXE,Sedan,automatic,ca,2.2,89107.0,gold,beige,1775,2000
2014,Dodge,Journey,SXT,SUV,automatic,nc,4.2,74792.0,black,tan,14700,14400
2013,Nissan,Sentra,SL,Sedan,automatic,fl,4.6,38379.0,silver,black,12400,13500
2012,BMW,Z4,sDrive28i,Convertible,automatic,nv,3.8,58601.0,red,black,28100,25250
2005,Chrysler,Town and Country,Base,Minivan,automatic,mi,1.9,135361.0,beige,gray,1975,1400
